0.5 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.906 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.907 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.908 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.909 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.91 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.911 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.912 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.913 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.914 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.915 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.916 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.917 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.918 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.919 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.92 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.921 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.922 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.923 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.924 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.925 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.926 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.927 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.928 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.929 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.93 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.931 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.932 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.933 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.934 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.935 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.936 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.937 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.938 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.939 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.94 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.941 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.942 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.943 No. of Outliers: 104, Clusters : 4, Silhoutte -0.14980000257492065
0.944 No. of Outliers: 101, Clusters : 5, Silhoutte -0.1412000060081482
0.945 No. of Outliers: 101, Clusters : 5, Silhoutte -0.1412000060081482
0.946 No. of Outliers: 101, Clusters : 5, Silhoutte -0.1412000060081482
0.947 No. of Outliers: 101, Clusters : 5, Silhoutte -0.1412000060081482
0.948 No. of Outliers: 101, Clusters : 5, Silhoutte -0.1412000060081482
0.949 No. of Outliers: 101, Clusters : 5, Silhoutte -0.1412000060081482
0.95 No. of Outliers: 100, Clusters : 5, Silhoutte -0.13580000400543213
0.951 No. of Outliers: 100, Clusters : 5, Silhoutte -0.13580000400543213
0.952 No. of Outliers: 100, Clusters : 5, Silhoutte -0.13580000400543213
0.953 No. of Outliers: 100, Clusters : 5, Silhoutte -0.13580000400543213
0.954 No. of Outliers: 100, Clusters : 5, Silhoutte -0.13580000400543213
0.955 No. of Outliers: 100, Clusters : 5, Silhoutte -0.13580000400543213
0.956 No. of Outliers: 100, Clusters : 5, Silhoutte -0.13580000400543213
0.957 No. of Outliers: 100, Clusters : 5, Silhoutte -0.13580000400543213
0.958 No. of Outliers: 100, Clusters : 5, Silhoutte -0.13580000400543213
0.959 No. of Outliers: 100, Clusters : 5, Silhoutte -0.13580000400543213
0.96 No. of Outliers: 100, Clusters : 5, Silhoutte -0.13580000400543213
0.961 No. of Outliers: 100, Clusters : 5, Silhoutte -0.13580000400543213
0.962 No. of Outliers: 98, Clusters : 5, Silhoutte -0.1274999976158142
0.963 No. of Outliers: 98, Clusters : 5, Silhoutte -0.1274999976158142
0.964 No. of Outliers: 98, Clusters : 5, Silhoutte -0.1274999976158142
0.965 No. of Outliers: 98, Clusters : 5, Silhoutte -0.1274999976158142
0.966 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.967 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.968 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.969 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.97 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.971 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.972 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.973 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.974 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.975 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.976 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.977 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.978 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.979 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.98 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.981 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.982 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.983 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.984 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.985 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.986 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.987 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.988 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.989 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.99 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.991 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.992 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.993 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.994 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.995 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.996 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.997 No. of Outliers: 97, Clusters : 5, Silhoutte -0.12110000103712082
0.998 No. of Outliers: 96, Clusters : 5, Silhoutte -0.11180000007152557
0.999 No. of Outliers: 93, Clusters : 6, Silhoutte -0.10490000247955322
1.0 No. of Outliers: 93, Clusters : 6, Silhoutte -0.10490000247955322
1.001 No. of Outliers: 93, Clusters : 6, Silhoutte -0.10490000247955322
1.002 No. of Outliers: 93, Clusters : 6, Silhoutte -0.10490000247955322
1.003 No. of Outliers: 91, Clusters : 6, Silhoutte -0.08619999885559082
1.004 No. of Outliers: 91, Clusters : 6, Silhoutte -0.08619999885559082
1.005 No. of Outliers: 91, Clusters : 6, Silhoutte -0.08619999885559082
1.006 No. of Outliers: 91, Clusters : 6, Silhoutte -0.08619999885559082
1.007 No. of Outliers: 91, Clusters : 6, Silhoutte -0.08619999885559082
1.008 No. of Outliers: 91, Clusters : 6, Silhoutte -0.08619999885559082
1.009 No. of Outliers: 91, Clusters : 6, Silhoutte -0.08619999885559082
1.01 No. of Outliers: 91, Clusters : 6, Silhoutte -0.08619999885559082
1.011 No. of Outliers: 91, Clusters : 6, Silhoutte -0.08619999885559082
1.012 No. of Outliers: 91, Clusters : 6, Silhoutte -0.08619999885559082
1.013 No. of Outliers: 90, Clusters : 6, Silhoutte -0.07859999686479568
1.014 No. of Outliers: 90, Clusters : 6, Silhoutte -0.07859999686479568
1.015 No. of Outliers: 90, Clusters : 6, Silhoutte -0.07859999686479568
1.016 No. of Outliers: 90, Clusters : 6, Silhoutte -0.07859999686479568
1.017 No. of Outliers: 88, Clusters : 6, Silhoutte -0.06859999895095825
1.018 No. of Outliers: 87, Clusters : 6, Silhoutte -0.06289999932050705
1.019 No. of Outliers: 87, Clusters : 6, Silhoutte -0.06289999932050705
1.02 No. of Outliers: 87, Clusters : 6, Silhoutte -0.06289999932050705
1.021 No. of Outliers: 87, Clusters : 6, Silhoutte -0.06289999932050705
1.022 No. of Outliers: 87, Clusters : 6, Silhoutte -0.06289999932050705
1.023 No. of Outliers: 87, Clusters : 6, Silhoutte -0.06289999932050705
1.024 No. of Outliers: 87, Clusters : 6, Silhoutte -0.06289999932050705
1.025 No. of Outliers: 84, Clusters : 7, Silhoutte -0.05350000038743019
1.026 No. of Outliers: 83, Clusters : 7, Silhoutte -0.04500000178813934
1.027 No. of Outliers: 83, Clusters : 7, Silhoutte -0.04500000178813934
1.028 No. of Outliers: 83, Clusters : 7, Silhoutte -0.04500000178813934
1.029 No. of Outliers: 83, Clusters : 7, Silhoutte -0.04500000178813934
1.03 No. of Outliers: 83, Clusters : 7, Silhoutte -0.04500000178813934
1.031 No. of Outliers: 83, Clusters : 7, Silhoutte -0.04500000178813934
1.032 No. of Outliers: 83, Clusters : 7, Silhoutte -0.04500000178813934
1.033 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.034 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.035 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.036 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.037 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.038 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.039 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.04 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.041 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.042 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.043 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.044 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.045 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.046 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.047 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.048 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.049 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.05 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.051 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.052 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.053 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.054 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.055 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.056 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.057 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.058 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.059 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.06 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.061 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.062 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.063 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.064 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.065 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.066 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.067 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.068 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.069 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.07 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.071 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.072 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.073 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.074 No. of Outliers: 82, Clusters : 7, Silhoutte -0.04039999842643738
1.075 No. of Outliers: 81, Clusters : 7, Silhoutte -0.03530000150203705
1.076 No. of Outliers: 81, Clusters : 7, Silhoutte -0.03530000150203705
1.077 No. of Outliers: 81, Clusters : 7, Silhoutte -0.03530000150203705
1.078 No. of Outliers: 81, Clusters : 7, Silhoutte -0.03530000150203705
1.079 No. of Outliers: 81, Clusters : 7, Silhoutte -0.03530000150203705
1.08 No. of Outliers: 79, Clusters : 7, Silhoutte -0.024000000208616257
1.081 No. of Outliers: 79, Clusters : 7, Silhoutte -0.024000000208616257
1.082 No. of Outliers: 79, Clusters : 7, Silhoutte -0.024000000208616257
1.083 No. of Outliers: 79, Clusters : 7, Silhoutte -0.024000000208616257
1.084 No. of Outliers: 79, Clusters : 7, Silhoutte -0.024000000208616257
1.085 No. of Outliers: 79, Clusters : 7, Silhoutte -0.024000000208616257
1.086 No. of Outliers: 79, Clusters : 7, Silhoutte -0.024000000208616257
1.087 No. of Outliers: 79, Clusters : 7, Silhoutte -0.024000000208616257
1.088 No. of Outliers: 79, Clusters : 7, Silhoutte -0.024000000208616257
1.089 No. of Outliers: 79, Clusters : 7, Silhoutte -0.024000000208616257
1.09 No. of Outliers: 79, Clusters : 7, Silhoutte -0.024000000208616257
1.091 No. of Outliers: 79, Clusters : 7, Silhoutte -0.024000000208616257
1.092 No. of Outliers: 79, Clusters : 7, Silhoutte -0.024000000208616257
1.093 No. of Outliers: 79, Clusters : 7, Silhoutte -0.024000000208616257
1.094 No. of Outliers: 79, Clusters : 7, Silhoutte -0.024000000208616257
1.095 No. of Outliers: 79, Clusters : 7, Silhoutte -0.024000000208616257
1.096 No. of Outliers: 79, Clusters : 7, Silhoutte -0.024000000208616257
1.097 No. of Outliers: 78, Clusters : 7, Silhoutte -0.021299999207258224
1.098 No. of Outliers: 78, Clusters : 7, Silhoutte -0.021299999207258224
1.099 No. of Outliers: 78, Clusters : 7, Silhoutte -0.021299999207258224
1.1 No. of Outliers: 78, Clusters : 7, Silhoutte -0.021299999207258224
1.101 No. of Outliers: 78, Clusters : 7, Silhoutte -0.021299999207258224
1.102 No. of Outliers: 76, Clusters : 7, Silhoutte -0.009999999776482582
1.103 No. of Outliers: 76, Clusters : 7, Silhoutte -0.009999999776482582
1.104 No. of Outliers: 76, Clusters : 7, Silhoutte -0.009999999776482582
1.105 No. of Outliers: 76, Clusters : 7, Silhoutte -0.009999999776482582
1.106 No. of Outliers: 76, Clusters : 7, Silhoutte -0.009999999776482582
1.107 No. of Outliers: 76, Clusters : 7, Silhoutte -0.009999999776482582
1.108 No. of Outliers: 76, Clusters : 7, Silhoutte -0.009999999776482582
1.109 No. of Outliers: 76, Clusters : 6, Silhoutte -0.01850000023841858
1.11 No. of Outliers: 76, Clusters : 6, Silhoutte -0.01850000023841858
1.111 No. of Outliers: 76, Clusters : 6, Silhoutte -0.01850000023841858
1.112 No. of Outliers: 76, Clusters : 6, Silhoutte -0.01850000023841858
1.113 No. of Outliers: 76, Clusters : 6, Silhoutte -0.01850000023841858
1.114 No. of Outliers: 76, Clusters : 6, Silhoutte -0.01850000023841858
1.115 No. of Outliers: 76, Clusters : 6, Silhoutte -0.01850000023841858
1.116 No. of Outliers: 76, Clusters : 6, Silhoutte -0.01850000023841858
1.117 No. of Outliers: 76, Clusters : 6, Silhoutte -0.01850000023841858
1.118 No. of Outliers: 76, Clusters : 6, Silhoutte -0.01850000023841858
1.119 No. of Outliers: 76, Clusters : 6, Silhoutte -0.01850000023841858
1.12 No. of Outliers: 75, Clusters : 6, Silhoutte -0.014999999664723873
1.121 No. of Outliers: 75, Clusters : 6, Silhoutte -0.014999999664723873
1.122 No. of Outliers: 75, Clusters : 6, Silhoutte -0.014999999664723873
1.123 No. of Outliers: 75, Clusters : 6, Silhoutte -0.014999999664723873
1.124 No. of Outliers: 75, Clusters : 6, Silhoutte -0.014999999664723873
1.125 No. of Outliers: 75, Clusters : 6, Silhoutte -0.014999999664723873
1.126 No. of Outliers: 75, Clusters : 6, Silhoutte -0.014999999664723873
1.127 No. of Outliers: 75, Clusters : 6, Silhoutte -0.014999999664723873
1.128 No. of Outliers: 75, Clusters : 6, Silhoutte -0.014999999664723873
1.129 No. of Outliers: 75, Clusters : 6, Silhoutte -0.014999999664723873
1.13 No. of Outliers: 75, Clusters : 6, Silhoutte -0.014999999664723873
1.131 No. of Outliers: 75, Clusters : 6, Silhoutte -0.014999999664723873
1.132 No. of Outliers: 75, Clusters : 6, Silhoutte -0.014999999664723873
1.133 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.134 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.135 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.136 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.137 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.138 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.139 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.14 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.141 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.142 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.143 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.144 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.145 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.146 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.147 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.148 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.149 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.15 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.151 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.152 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.153 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.154 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.155 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.156 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.157 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.158 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.159 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.16 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.161 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.162 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.163 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.164 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.165 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.166 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.167 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.168 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.169 No. of Outliers: 74, Clusters : 6, Silhoutte -0.008700000122189522
1.17 No. of Outliers: 71, Clusters : 7, Silhoutte -0.0003000000142492354
1.171 No. of Outliers: 71, Clusters : 7, Silhoutte -0.0003000000142492354
1.172 No. of Outliers: 71, Clusters : 7, Silhoutte -0.0003000000142492354
1.173 No. of Outliers: 71, Clusters : 7, Silhoutte -0.0003000000142492354
1.174 No. of Outliers: 71, Clusters : 7, Silhoutte -0.0003000000142492354
1.175 No. of Outliers: 71, Clusters : 7, Silhoutte -0.0003000000142492354
1.176 No. of Outliers: 71, Clusters : 7, Silhoutte -0.0003000000142492354
1.177 No. of Outliers: 71, Clusters : 7, Silhoutte -0.0003000000142492354
1.178 No. of Outliers: 71, Clusters : 7, Silhoutte -0.0003000000142492354
1.179 No. of Outliers: 71, Clusters : 7, Silhoutte -0.0003000000142492354
1.18 No. of Outliers: 71, Clusters : 7, Silhoutte -0.0003000000142492354
1.181 No. of Outliers: 71, Clusters : 7, Silhoutte -0.0003000000142492354
1.182 No. of Outliers: 70, Clusters : 7, Silhoutte 0.005900000222027302
1.183 No. of Outliers: 70, Clusters : 7, Silhoutte 0.005900000222027302
1.184 No. of Outliers: 70, Clusters : 7, Silhoutte 0.005900000222027302
1.185 No. of Outliers: 70, Clusters : 7, Silhoutte 0.005900000222027302
1.186 No. of Outliers: 70, Clusters : 7, Silhoutte 0.005900000222027302
1.187 No. of Outliers: 70, Clusters : 7, Silhoutte 0.005900000222027302
1.188 No. of Outliers: 70, Clusters : 7, Silhoutte 0.005900000222027302
1.189 No. of Outliers: 70, Clusters : 7, Silhoutte 0.005900000222027302
1.19 No. of Outliers: 70, Clusters : 7, Silhoutte 0.005900000222027302
1.191 No. of Outliers: 70, Clusters : 7, Silhoutte 0.005900000222027302
1.192 No. of Outliers: 70, Clusters : 7, Silhoutte 0.005900000222027302
1.193 No. of Outliers: 69, Clusters : 7, Silhoutte 0.011900000274181366
1.194 No. of Outliers: 69, Clusters : 7, Silhoutte 0.011900000274181366
1.195 No. of Outliers: 69, Clusters : 7, Silhoutte 0.011900000274181366
1.196 No. of Outliers: 69, Clusters : 7, Silhoutte 0.011900000274181366
1.197 No. of Outliers: 69, Clusters : 7, Silhoutte 0.011900000274181366
1.198 No. of Outliers: 69, Clusters : 7, Silhoutte 0.011900000274181366
1.199 No. of Outliers: 69, Clusters : 7, Silhoutte 0.011900000274181366
1.2 No. of Outliers: 69, Clusters : 7, Silhoutte 0.011900000274181366
1.201 No. of Outliers: 69, Clusters : 7, Silhoutte 0.011900000274181366
1.202 No. of Outliers: 69, Clusters : 7, Silhoutte 0.011900000274181366
1.203 No. of Outliers: 66, Clusters : 8, Silhoutte 0.01549999974668026
1.204 No. of Outliers: 66, Clusters : 8, Silhoutte 0.01549999974668026
1.205 No. of Outliers: 66, Clusters : 8, Silhoutte 0.01549999974668026
1.206 No. of Outliers: 66, Clusters : 8, Silhoutte 0.01549999974668026
1.207 No. of Outliers: 66, Clusters : 8, Silhoutte 0.01549999974668026
1.208 No. of Outliers: 66, Clusters : 8, Silhoutte 0.01549999974668026
1.209 No. of Outliers: 66, Clusters : 8, Silhoutte 0.01549999974668026
1.21 No. of Outliers: 66, Clusters : 8, Silhoutte 0.01549999974668026
1.211 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.212 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.213 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.214 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.215 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.216 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.217 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.218 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.219 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.22 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.221 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.222 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.223 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.224 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.225 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.226 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.227 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.228 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.229 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.23 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.231 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.232 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.233 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.234 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.235 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.236 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.237 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.238 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.239 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.24 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.241 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.242 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.243 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.244 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.245 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.246 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.247 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.248 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.249 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.25 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.251 No. of Outliers: 65, Clusters : 8, Silhoutte 0.02019999921321869
1.252 No. of Outliers: 61, Clusters : 9, Silhoutte 0.03889999911189079
1.253 No. of Outliers: 61, Clusters : 9, Silhoutte 0.03889999911189079
1.254 No. of Outliers: 61, Clusters : 9, Silhoutte 0.03889999911189079
1.255 No. of Outliers: 61, Clusters : 9, Silhoutte 0.03889999911189079
1.256 No. of Outliers: 61, Clusters : 9, Silhoutte 0.03889999911189079
1.257 No. of Outliers: 61, Clusters : 9, Silhoutte 0.03889999911189079
1.258 No. of Outliers: 61, Clusters : 9, Silhoutte 0.03889999911189079
1.259 No. of Outliers: 58, Clusters : 10, Silhoutte 0.04010000079870224
1.26 No. of Outliers: 58, Clusters : 10, Silhoutte 0.04010000079870224
1.261 No. of Outliers: 58, Clusters : 10, Silhoutte 0.04010000079870224
1.262 No. of Outliers: 58, Clusters : 10, Silhoutte 0.04010000079870224
